contestID,choiceID,type,name,party,dispOrder
9295,1,CD,Sean Nolte,1,1
9297,1,CD,Jeffrey A. Meyer,1,1
9299,1,CD,Enoch Essendrop,1,1
9300,1,CD,Julia D. Hut,2,1
9302,1,CD,Franklin F. Ramirez,2,1
9306,1,CD,William Becker,2,1
9308,1,CD,Carl Strathmann,2,1
9312,1,CD,Robert Follman,1,1
9313,1,CD,Clifford J. Olson,2,1
9318,1,CD,Michael J. Kenyon,1,1
9319,1,CD,Arthur Malm,2,1
9321,1,CD,Patrick Gordon,2,1
9322,1,WI,No Candidate Filed,,1
9325,1,CD,Randy Hopp,2,1
9325,2,CD,Kathleen Newcomb,2,2
9327,1,CD,Janice Bennett,2,1
9328,1,CD,George  Bero,1,1
9332,1,CD,David J. Rickert,1,1
9333,1,CD,Willie Clements,2,1
9334,1,CD,"Ronald S. Edelmann, Sr.",1,1
9335,1,CD,Jody Schmeck,2,1
9336,1,CD,Karen A. Dowling,1,1
9339,1,CD,Vincent Rychtanek,2,1
9342,1,CD,Donna M. Van Meter,1,1
9342,2,CD,Romel Rana,1,2
9344,1,CD,James F. Libbe,1,1
9346,1,CD,Todd A. Hartwell,1,1
9347,1,CD,Dennis Dilley,2,1
9349,1,CD,Megan Larson,2,1
9351,1,CD,Lois Ann Swatscheno,2,1
9352,1,CD,Gregory J. Lieser,1,1
9356,1,CD,Nicole Dean-Vallejo,1,1
9357,1,CD,Verner Tepe,2,1
9370,1,CD,Sara Holing,2,1
9377,1,CD,Dan Ugaste,1,1
9378,1,CD,William Koehl,2,1
9380,1,CD,Mark Shumow,2,1
9381,1,WI,No Candidate Filed,,1
9384,1,CD,Victoria Davidson-Bell,2,1
9385,1,CD,Susan B. Dixon,1,1
9386,1,CD,William Malecki,2,1
9387,1,WI,No Candidate Filed,,1
9389,1,CD,Patrick J. Murtaugh,1,1
9390,1,CD,John Kohlstrand,2,1
9391,1,CD,Douglas B. Warlick,1,1
9391,2,CD,Mark Wissing,1,2
9392,1,CD,John Rice,2,1
9398,1,CD,Becky Kruse,2,1
9403,1,WI,No Candidate Filed,,1
9405,1,WI,No Candidate Filed,,1
9420,1,WI,No Candidate Filed,,1
9422,1,CD,Connie Von Keudell,1,1
9424,1,WI,No Candidate Filed,,1
9430,1,CD,Laura M. Pollastrini,1,1
9442,1,CD,Gregory Perko,1,1
9443,1,CD,Carol J. Nightingale,2,1
9444,1,CD,Cherie Hamilton,1,1
9452,1,CD,Gary Daugherty,1,1
9459,1,CD,Nancy  Baron,2,1
9464,1,CD,Christopher Yaeger,1,1
9466,1,CD,Tom  Koppie,1,1
9482,1,CD,John Hoscheit,1,1
9483,1,CD,Sean Baker,2,1
9486,1,CD,Robert T. Gephart,1,1
9488,1,CD,Chris A. Studebaker,1,1
9490,1,CD,David Pietryla,1,1
9494,1,CD,Kenneth C. Shepro,1,1
9495,1,CD,James J. Flanigan,2,1
9496,1,CD,Mark Davoust,1,1
9500,1,CD,Philip Lewis,1,1
9506,1,CD,Nina A. Westhoff,1,1
9508,1,CD,John Arthur Anderson,1,1
9510,1,CD,Mark J. Rake,1,1
9511,1,CD,John H. Perryman,2,1
9512,1,CD,Arthur J. Lemke,1,1
9513,1,CD,Richard Treonis,2,1
9516,1,CD,Anthony L. Catella,1,1
9521,1,CD,Marie M. Powell,2,1
9523,1,CD,Corinne M. Pierog,2,1
9524,1,CD,Christopher J. Margewich,1,1
9527,1,CD,Nadia B. Daley,2,1
9529,1,CD,Stephen Bruesewitz,2,1
9531,1,CD,Linda Robertson,2,1
9532,1,CD,Craig C. Conn,1,1
9534,1,CD,Michael  Hoscheit,1,1
9536,1,CD,Robert A. Kudlicki,1,1
9538,1,CD,Rob Russell,1,1
9539,1,CD,David Stohler,2,1
9542,1,CD,Diane Hemmingsen,1,1
9547,1,CD,William Kevin Bachman,2,1
9562,1,WI,No Candidate Filed,,1
9563,1,CD,Philip A. Silagi,2,1
9564,1,CD,"Stanton J. ""Stan"" Bond",1,1
9566,1,CD,Joseph Thomas Golab,1,1
9568,1,CD,Sean Herron,1,1
9569,1,CD,Amy Hain,2,1
9570,1,CD,Paula A. Lacey,1,1
9571,1,CD,Sandra A. King,2,1
9572,1,CD,Ted A. Koch,1,1
9584,1,CD,David S. Stewart,1,1
