contestID,choiceID,precID,precname,splitID,splitname,count,cont_ch
8006,2,11,AU0003,16,4 DEM,0,8006_2
8014,1,11,AU0003,16,4 DEM,0,8014_1
8014,2,11,AU0003,16,4 DEM,0,8014_2
181,100,11,AU0003,17,4 REP,0,181_100
181,105,11,AU0003,17,4 REP,0,181_105
191,145,11,AU0003,17,4 REP,0,191_145
191,150,11,AU0003,17,4 REP,0,191_150
201,195,11,AU0003,17,4 REP,0,201_195
211,210,11,AU0003,17,4 REP,0,211_210
221,220,11,AU0003,17,4 REP,0,221_220
351,495,11,AU0003,17,4 REP,0,351_495
351,500,11,AU0003,17,4 REP,0,351_500
3006,1,11,AU0003,17,4 REP,0,3006_1
3006,2,11,AU0003,17,4 REP,0,3006_2
3031,1,11,AU0003,17,4 REP,0,3031_1
3031,2,11,AU0003,17,4 REP,0,3031_2
3036,1,11,AU0003,17,4 REP,0,3036_1
7369,1,11,AU0003,17,4 REP,0,7369_1
4021,3760,11,AU0003,17,4 REP,0,4021_3760
4021,3765,11,AU0003,17,4 REP,0,4021_3765
4021,3770,11,AU0003,17,4 REP,0,4021_3770
8006,1,11,AU0003,17,4 REP,0,8006_1
8006,2,11,AU0003,17,4 REP,0,8006_2
8014,1,11,AU0003,17,4 REP,0,8014_1
8014,2,11,AU0003,17,4 REP,0,8014_2
8006,1,11,AU0003,18,4 NP,0,8006_1
8006,2,11,AU0003,18,4 NP,0,8006_2
8014,1,11,AU0003,18,4 NP,0,8014_1
8014,2,11,AU0003,18,4 NP,0,8014_2
182,110,19,AU0004,19,5 DEM,0,182_110
182,115,19,AU0004,19,5 DEM,0,182_115
182,120,19,AU0004,19,5 DEM,0,182_120
182,130,19,AU0004,19,5 DEM,0,182_130
182,135,19,AU0004,19,5 DEM,0,182_135
182,140,19,AU0004,19,5 DEM,0,182_140
192,155,19,AU0004,19,5 DEM,0,192_155
192,160,19,AU0004,19,5 DEM,0,192_160
192,165,19,AU0004,19,5 DEM,0,192_165
192,170,19,AU0004,19,5 DEM,0,192_170
192,175,19,AU0004,19,5 DEM,0,192_175
192,180,19,AU0004,19,5 DEM,0,192_180
192,185,19,AU0004,19,5 DEM,0,192_185
192,190,19,AU0004,19,5 DEM,0,192_190
202,200,19,AU0004,19,5 DEM,0,202_200
212,215,19,AU0004,19,5 DEM,0,212_215
222,225,19,AU0004,19,5 DEM,0,222_225
352,505,19,AU0004,19,5 DEM,0,352_505
670,870,19,AU0004,19,5 DEM,0,670_870
670,875,19,AU0004,19,5 DEM,0,670_875
671,880,19,AU0004,19,5 DEM,0,671_880
671,885,19,AU0004,19,5 DEM,0,671_885
1872,1960,19,AU0004,19,5 DEM,0,1872_1960
3007,1,19,AU0004,19,5 DEM,0,3007_1
3032,1,19,AU0004,19,5 DEM,0,3032_1
3032,2,19,AU0004,19,5 DEM,0,3032_2
4022,3775,19,AU0004,19,5 DEM,0,4022_3775
4022,3780,19,AU0004,19,5 DEM,0,4022_3780
4452,3750,19,AU0004,19,5 DEM,0,4452_3750
8006,1,19,AU0004,19,5 DEM,0,8006_1
8006,2,19,AU0004,19,5 DEM,0,8006_2
8014,1,19,AU0004,19,5 DEM,0,8014_1
8014,2,19,AU0004,19,5 DEM,0,8014_2
181,100,19,AU0004,20,5 REP,0,181_100
181,105,19,AU0004,20,5 REP,0,181_105
191,145,19,AU0004,20,5 REP,0,191_145
191,150,19,AU0004,20,5 REP,0,191_150
201,195,19,AU0004,20,5 REP,0,201_195
211,210,19,AU0004,20,5 REP,0,211_210
221,220,19,AU0004,20,5 REP,0,221_220
351,495,19,AU0004,20,5 REP,0,351_495
351,500,19,AU0004,20,5 REP,0,351_500
1871,1955,19,AU0004,20,5 REP,0,1871_1955
3006,1,19,AU0004,20,5 REP,0,3006_1
3006,2,19,AU0004,20,5 REP,0,3006_2
3031,1,19,AU0004,20,5 REP,0,3031_1
3031,2,19,AU0004,20,5 REP,0,3031_2
3036,1,19,AU0004,20,5 REP,0,3036_1
7369,1,19,AU0004,20,5 REP,0,7369_1
4021,3760,19,AU0004,20,5 REP,0,4021_3760
4021,3765,19,AU0004,20,5 REP,0,4021_3765
4021,3770,19,AU0004,20,5 REP,0,4021_3770
9007,1,19,AU0004,20,5 REP,0,9007_1
8006,1,19,AU0004,20,5 REP,0,8006_1
8006,2,19,AU0004,20,5 REP,0,8006_2
8014,1,19,AU0004,20,5 REP,0,8014_1
8014,2,19,AU0004,20,5 REP,0,8014_2
8006,1,19,AU0004,21,5 NP,0,8006_1
8006,2,19,AU0004,21,5 NP,0,8006_2
8014,1,19,AU0004,21,5 NP,0,8014_1
8014,2,19,AU0004,21,5 NP,0,8014_2
352,505,19,AU0004,22,FED11 DEM,0,352_505
351,495,19,AU0004,23,FED11 REP,0,351_495
351,500,19,AU0004,23,FED11 REP,0,351_500
182,110,24,AU0005,24,6 DEM,0,182_110
182,115,24,AU0005,24,6 DEM,0,182_115
182,120,24,AU0005,24,6 DEM,0,182_120
182,130,24,AU0005,24,6 DEM,0,182_130
182,135,24,AU0005,24,6 DEM,0,182_135
182,140,24,AU0005,24,6 DEM,0,182_140
192,155,24,AU0005,24,6 DEM,0,192_155
192,160,24,AU0005,24,6 DEM,0,192_160
192,165,24,AU0005,24,6 DEM,0,192_165
192,170,24,AU0005,24,6 DEM,0,192_170
192,175,24,AU0005,24,6 DEM,0,192_175
192,180,24,AU0005,24,6 DEM,0,192_180
192,185,24,AU0005,24,6 DEM,0,192_185
192,190,24,AU0005,24,6 DEM,0,192_190
202,200,24,AU0005,24,6 DEM,0,202_200
212,215,24,AU0005,24,6 DEM,0,212_215
222,225,24,AU0005,24,6 DEM,0,222_225
352,505,24,AU0005,24,6 DEM,0,352_505
670,870,24,AU0005,24,6 DEM,0,670_870
670,875,24,AU0005,24,6 DEM,0,670_875
671,880,24,AU0005,24,6 DEM,0,671_880
671,885,24,AU0005,24,6 DEM,0,671_885
1202,1265,24,AU0005,24,6 DEM,0,1202_1265
2212,2320,24,AU0005,24,6 DEM,0,2212_2320
3007,1,24,AU0005,24,6 DEM,0,3007_1
3032,1,24,AU0005,24,6 DEM,0,3032_1
3032,2,24,AU0005,24,6 DEM,0,3032_2
4022,3775,24,AU0005,24,6 DEM,0,4022_3775
4022,3780,24,AU0005,24,6 DEM,0,4022_3780
4452,3750,24,AU0005,24,6 DEM,0,4452_3750
8006,1,24,AU0005,24,6 DEM,0,8006_1
8006,2,24,AU0005,24,6 DEM,0,8006_2
8014,1,24,AU0005,24,6 DEM,0,8014_1
8014,2,24,AU0005,24,6 DEM,0,8014_2
181,100,24,AU0005,25,6 REP,0,181_100
181,105,24,AU0005,25,6 REP,0,181_105
191,145,24,AU0005,25,6 REP,0,191_145
191,150,24,AU0005,25,6 REP,0,191_150
201,195,24,AU0005,25,6 REP,0,201_195
211,210,24,AU0005,25,6 REP,0,211_210
221,220,24,AU0005,25,6 REP,0,221_220
351,495,24,AU0005,25,6 REP,0,351_495
351,500,24,AU0005,25,6 REP,0,351_500
2211,2315,24,AU0005,25,6 REP,0,2211_2315
3006,1,24,AU0005,25,6 REP,0,3006_1
3006,2,24,AU0005,25,6 REP,0,3006_2
3031,1,24,AU0005,25,6 REP,0,3031_1
3031,2,24,AU0005,25,6 REP,0,3031_2
3036,1,24,AU0005,25,6 REP,0,3036_1
7369,1,24,AU0005,25,6 REP,0,7369_1
4021,3760,24,AU0005,25,6 REP,0,4021_3760
4021,3765,24,AU0005,25,6 REP,0,4021_3765
4021,3770,24,AU0005,25,6 REP,0,4021_3770
8006,1,24,AU0005,25,6 REP,0,8006_1
8006,2,24,AU0005,25,6 REP,0,8006_2
8014,1,24,AU0005,25,6 REP,0,8014_1
8014,2,24,AU0005,25,6 REP,0,8014_2
8006,1,24,AU0005,26,6 NP,0,8006_1
8006,2,24,AU0005,26,6 NP,0,8006_2
8014,1,24,AU0005,26,6 NP,0,8014_1
8014,2,24,AU0005,26,6 NP,0,8014_2
352,505,24,AU0005,27,FED11 DEM,0,352_505
351,495,24,AU0005,28,FED11 REP,0,351_495
351,500,24,AU0005,28,FED11 REP,0,351_500
182,110,29,AU0006,29,7 DEM,0,182_110
182,115,29,AU0006,29,7 DEM,0,182_115
182,120,29,AU0006,29,7 DEM,0,182_120
182,130,29,AU0006,29,7 DEM,0,182_130
182,135,29,AU0006,29,7 DEM,0,182_135
182,140,29,AU0006,29,7 DEM,0,182_140
192,155,29,AU0006,29,7 DEM,0,192_155
192,160,29,AU0006,29,7 DEM,0,192_160
192,165,29,AU0006,29,7 DEM,0,192_165
192,170,29,AU0006,29,7 DEM,0,192_170
192,175,29,AU0006,29,7 DEM,0,192_175
192,180,29,AU0006,29,7 DEM,0,192_180
192,185,29,AU0006,29,7 DEM,0,192_185
192,190,29,AU0006,29,7 DEM,0,192_190
202,200,29,AU0006,29,7 DEM,0,202_200
212,215,29,AU0006,29,7 DEM,0,212_215
222,225,29,AU0006,29,7 DEM,0,222_225
352,505,29,AU0006,29,7 DEM,0,352_505
670,870,29,AU0006,29,7 DEM,0,670_870
670,875,29,AU0006,29,7 DEM,0,670_875
